     50827,     43721,     46684,     46075,     49262,     47446,     46789,     45306,     50858,     46016,     51447,     47355,     46009,     50032,     43618,     48585,     46795,     45074,     43150,     47596,     46808,     48703,     46165,     49228,     47145,     44947,     45901,     46695,     45114,     48451,     46047,     45847,     44148,     46891,     48544,     48315,     44967,     45382,     47556,     47046,     48000,     48144,     45236,     44999,     45827,     45555,     46342,     44989,     45309,     44690,     44691,     45752,     43969,     43020,     44420,     44357,     44094,     42949,     43174,     45988,     45893,     44864,     44302,     46087,     47695,     44700,     43504,     44334,     44337,     45357,     44400,     45443,     43210,     46379,     45565,     44417,     46874,     43420,     44043,     45597,     44158,     44403,     44400,     45255,     44364,     43760,     43700,     47525,     43831,     44607,
     59499,     59167,     57646,     58113,     59637,     58663,     58666,     58881,     62557,     58206,     62847,     58453,     61037,     61848,     59737,     60551,     57853,     58725,     58541,     59354,     57892,     60367,     57873,     61409,     59857,     58249,     60036,     60534,     60101,     62111,     58352,     62246,     60228,     59282,     62975,     59767,     58099,     59042,     62517,     58680,     59767,     60542,     58553,     58517,     59033,     58621,     60438,     58988,     58149,     60918,     58180,     57672,     58340,     58825,     57621,     58082,     58072,     59201,     57716,     57235,     59437,     57342,     57383,     57601,     59385,     58976,     58516,     58395,     59522,     57187,     57866,     58596,     59997,     59558,     57665,     57647,     58899,     59221,     57440,     57824,     58198,     58717,     59198,     59525,     57830,     57741,     59711,     57063,     57030,     57075,
     56523,     58737,     56400,     58166,     58033,     60071,     56171,     60171,     62209,     56104,     58717,     57215,     57351,     59849,     58251,     61260,     56526,     57494,     56374,     57342,     56828,     57301,     55932,     60625,     56352,     56452,     56217,     58208,     57797,     59281,     56031,     57197,     56767,     57754,     59241,     57404,     57382,     61029,     60185,     57678,     56387,     56967,     58904,     56767,     56983,     56452,     58478,     57645,     56238,     56167,     59716,     56288,     56379,     56582,     55705,     55446,     57397,     55725,     56634,     54961,     55309,     55387,     57148,     55034,     56947,     55577,     55860,     55296,     56894,     55159,     55252,     57158,     55202,     58283,     55478,     58234,     55579,     57354,     55367,     56358,     55756,     56111,     56704,     55578,     56717,     56888,     59175,     55037,     56920,     55143,
     58193,     60516,     59943,     60240,     58768,     60093,     58582,     58558,     61986,     63779,     60885,     60213,     59627,     65621,     58947,     61358,     58216,     61325,     57217,     60690,     58221,     59343,     59449,     62836,     60543,     60073,     58471,     63555,     59317,     61948,     58730,     60533,     57550,     63543,     64660,     60191,     58774,     61180,     62256,     59299,     60122,     59658,     59597,     59937,     59912,     59775,     59635,     58907,     59647,     59138,     59982,     60259,     58040,     59824,     57778,     58139,     57826,     58082,     58021,     58907,     58826,     58837,     58661,     61085,     60218,     58128,     58692,     60637,     58157,     59280,     58192,     60770,     59053,     58267,     58715,     60055,     59678,     58224,     58278,     58071,     60848,     58927,     58090,     58046,     60010,     58461,     60890,     57969,     59318,     57942,
     58399,     56435,     56590,     57040,     59216,     58103,     56290,     58166,     62150,     57495,     58751,     57446,     55759,     61555,     56048,     59554,     55727,     57819,     54712,     58914,     56198,     58663,     57410,     59845,     55835,     56614,     58296,     59650,     56281,     59484,     57106,     59489,     55076,     58242,     65027,     59427,     56553,     56618,     57437,     58343,     57560,     57072,     57885,     56577,     56254,     57138,     57956,     58543,     56376,     56589,     56835,     55631,     56738,     55937,     55110,     55395,     55256,     56156,     58703,     57614,     55383,     59104,     55474,     55546,     57551,     56276,     57567,     55575,     57124,     55379,     56291,     58752,     57611,     55732,     55708,     55355,     57206,     55675,     55847,     56505,     57143,     56796,     56902,     57475,     57558,     57417,     57454,     55258,     56443,     57143,
     56570,     56802,     58057,     56750,     56687,     60342,     60016,     56554,     60068,     56133,     59907,     58799,     56748,     60214,     58734,     60701,     59408,     57790,     58414,     57951,     59056,     57909,     56470,     59356,     57924,     57431,     57472,     59069,     57093,     60363,     59632,     60900,     56217,     59329,     64328,     58617,     57034,     57512,     58765,     58411,     57505,     57455,     58719,     57361,     57501,     59162,     57848,     57052,     56928,     59119,     58468,     56371,     57992,     56248,     56230,     57480,     56279,     57508,     58644,     57431,     58789,     58460,     56421,     59471,     57883,     59383,     56708,     56415,     56206,     59177,     56458,     59136,     56425,     56574,     58540,     56749,     56529,     56691,     58128,     57570,     56511,     56989,     60743,     57022,     58076,     56493,     58911,     56207,     56035,     57382,
    125171,    126049,    126048,    125813,    126099,    126221,    125560,    126236,    132011,    124879,    127557,    127300,    131660,    129739,    126430,    128910,    125781,    128519,    124558,    128693,    127503,    127998,    125716,    130996,    127561,    126927,    126083,    129936,    126522,    136554,    126098,    128477,    125109,    127062,    138371,    127512,    128555,    127974,    126815,    126970,    128699,    127232,    126896,    126369,    127177,    128517,    127668,    126414,    126238,    126412,    126595,    127867,    131793,    125909,    125614,    126359,    126048,    129172,    125708,    125607,    132768,    125960,    125589,    125332,    126604,    125554,    128358,    126446,    125747,    125768,    127377,    126829,    127666,    126570,    132828,    127402,    126069,    125566,    125482,    125761,    127307,    126751,    125402,    125619,    129475,    126049,    126308,    125240,    127967,    126612,
     58634,     57666,     56943,     56278,     62878,     56931,     56728,     57176,     62276,     57536,     58388,     56816,     55976,     61405,     56489,     58860,     57823,     58979,     56059,     57300,     56116,     58843,     56761,     59563,     56462,     56432,     55722,     60408,     58128,     59197,     57151,     60260,     55109,     56651,     58990,     60683,     58995,     59511,     56348,     57848,     57070,     59241,     56504,     58783,     57480,     56094,     57866,     56283,     55997,     56321,     56054,     56394,     55890,     56986,     59431,     56417,     57691,     55540,     56148,     55947,     55481,     58378,     56916,     56238,     56930,     55605,     55755,     60016,     56850,     56849,     55735,     57802,     55581,     55794,     57216,     57119,     58016,     56299,     56296,     55584,     59151,     56527,     55504,     55589,     57593,     55928,     56174,     56591,     56890,     55842,
     58285,     58256,     57475,     57308,     58871,     57199,     57146,     58082,     61008,     56962,     63807,     57878,     56394,     60529,     61601,     59967,     55935,     57066,     54903,     60916,     57070,     58481,     56936,     59725,     56472,     60786,     57542,     59262,     56687,     62243,     57150,     61292,     58819,     62107,     60257,     57843,     57279,     59025,     59056,     57120,     56790,     57980,     56814,     60396,     57090,     57512,     59676,     56675,     57232,     57602,     57456,     58472,     55695,     56807,     55883,     56143,     56642,     59358,     56942,     56636,     56707,     55908,     57745,     58592,     57026,     56957,     57248,     58567,     56839,     57864,     56328,     59612,     57031,     56282,     56386,     58528,     56241,     56801,     56907,     57701,     57672,     57499,     59213,     56087,     58940,     57361,     56649,     56618,     58279,     56588,
    120583,    121377,    121195,    122846,    120957,    121485,    120445,    121308,    124511,    122117,    125849,    123088,    120738,    125994,    123402,    123636,    120547,    123567,    119515,    124091,    121035,    122038,    120623,    125267,    121230,    122396,    120798,    125279,    121284,    126085,    121209,    124633,    120523,    121820,    124216,    122724,    123185,    121679,    121845,    121545,    121487,    122203,    123982,    121759,    121709,    121442,    122014,    121677,    121158,    121557,    122359,    124072,    122444,    120383,    120565,    120616,    120539,    120811,    120761,    120500,    122020,    122855,    120654,    122457,    120879,    120777,    122357,    120585,    120939,    120593,    122578,    121611,    121072,    121202,    122402,    122467,    120713,    120910,    120555,    122303,    120580,    120853,    120353,    121643,    121543,    121114,    121460,    124235,    120200,    120720,
